# #Teff log(g)
6.107500000000000000e+03 6.107500000000000000e+03
5.039600000000000364e+03 5.039600000000000364e+03
5.158000000000000000e+03 5.158000000000000000e+03
3.735900000000000091e+03 3.735900000000000091e+03
3.289900000000000091e+03 3.289900000000000091e+03
4.771899999999999636e+03 4.771899999999999636e+03
3.459099999999999909e+03 3.459099999999999909e+03
4.399699999999999818e+03 4.399699999999999818e+03
5.486100000000000364e+03 5.486100000000000364e+03
4.222699999999999818e+03 4.222699999999999818e+03
3.447300000000000182e+03 3.447300000000000182e+03
3.575699999999999818e+03 3.575699999999999818e+03
4.313399999999999636e+03 4.313399999999999636e+03
5.172699999999999818e+03 5.172699999999999818e+03
5.895300000000000182e+03 5.895300000000000182e+03
5.628699999999999818e+03 5.628699999999999818e+03
4.844699999999999818e+03 4.844699999999999818e+03
4.422699999999999818e+03 4.422699999999999818e+03
5.073000000000000000e+03 5.073000000000000000e+03
4.721600000000000364e+03 4.721600000000000364e+03
5.741199999999999818e+03 5.741199999999999818e+03
3.394199999999999818e+03 3.394199999999999818e+03
4.781800000000000182e+03 4.781800000000000182e+03
6.324000000000000000e+03 6.324000000000000000e+03
3.563500000000000000e+03 3.563500000000000000e+03
4.181399999999999636e+03 4.181399999999999636e+03
3.441599999999999909e+03 3.441599999999999909e+03
3.624500000000000000e+03 3.624500000000000000e+03
4.326199999999999818e+03 4.326199999999999818e+03
3.258800000000000182e+03 3.258800000000000182e+03
4.903500000000000000e+03 4.903500000000000000e+03
5.654800000000000182e+03 5.654800000000000182e+03
5.956600000000000364e+03 5.956600000000000364e+03
4.665100000000000364e+03 4.665100000000000364e+03
6.014300000000000182e+03 6.014300000000000182e+03
4.753399999999999636e+03 4.753399999999999636e+03
5.795899999999999636e+03 5.795899999999999636e+03
4.168500000000000000e+03 4.168500000000000000e+03
4.461699999999999818e+03 4.461699999999999818e+03
3.390699999999999818e+03 3.390699999999999818e+03
3.218000000000000000e+03 3.218000000000000000e+03
4.867300000000000182e+03 4.867300000000000182e+03
6.049600000000000364e+03 6.049600000000000364e+03
5.136000000000000000e+03 5.136000000000000000e+03
3.611800000000000182e+03 3.611800000000000182e+03
4.823000000000000000e+03 4.823000000000000000e+03
3.580599999999999909e+03 3.580599999999999909e+03
3.918900000000000091e+03 3.918900000000000091e+03
4.620100000000000364e+03 4.620100000000000364e+03
6.150800000000000182e+03 6.150800000000000182e+03
3.442099999999999909e+03 3.442099999999999909e+03
5.430800000000000182e+03 5.430800000000000182e+03
5.377399999999999636e+03 5.377399999999999636e+03
3.996900000000000091e+03 3.996900000000000091e+03
5.235000000000000000e+03 5.235000000000000000e+03
4.441699999999999818e+03 4.441699999999999818e+03
3.180900000000000091e+03 3.180900000000000091e+03
5.147000000000000000e+03 5.147000000000000000e+03
3.133199999999999818e+03 3.133199999999999818e+03
5.866300000000000182e+03 5.866300000000000182e+03
5.632000000000000000e+03 5.632000000000000000e+03
5.787399999999999636e+03 5.787399999999999636e+03
4.784000000000000000e+03 4.784000000000000000e+03
3.205400000000000091e+03 3.205400000000000091e+03
3.347699999999999818e+03 3.347699999999999818e+03
3.455000000000000000e+03 3.455000000000000000e+03
5.671300000000000182e+03 5.671300000000000182e+03
4.943500000000000000e+03 4.943500000000000000e+03
5.414000000000000000e+03 5.414000000000000000e+03
5.895899999999999636e+03 5.895899999999999636e+03
3.081500000000000000e+03 3.081500000000000000e+03
5.401500000000000000e+03 5.401500000000000000e+03
5.044699999999999818e+03 5.044699999999999818e+03
3.937500000000000000e+03 3.937500000000000000e+03
5.183699999999999818e+03 5.183699999999999818e+03
4.970100000000000364e+03 4.970100000000000364e+03
4.256100000000000364e+03 4.256100000000000364e+03
4.495800000000000182e+03 4.495800000000000182e+03
4.095699999999999818e+03 4.095699999999999818e+03
3.905000000000000000e+03 3.905000000000000000e+03
5.502199999999999818e+03 5.502199999999999818e+03
4.933300000000000182e+03 4.933300000000000182e+03
3.499300000000000182e+03 3.499300000000000182e+03
5.494899999999999636e+03 5.494899999999999636e+03
3.358000000000000000e+03 3.358000000000000000e+03
5.381000000000000000e+03 5.381000000000000000e+03
6.177899999999999636e+03 6.177899999999999636e+03
3.925099999999999909e+03 3.925099999999999909e+03
5.449899999999999636e+03 5.449899999999999636e+03
4.891399999999999636e+03 4.891399999999999636e+03
4.457800000000000182e+03 4.457800000000000182e+03
4.236899999999999636e+03 4.236899999999999636e+03
4.111899999999999636e+03 4.111899999999999636e+03
6.104600000000000364e+03 6.104600000000000364e+03
4.691600000000000364e+03 4.691600000000000364e+03
5.383000000000000000e+03 5.383000000000000000e+03
5.491199999999999818e+03 5.491199999999999818e+03
4.595399999999999636e+03 4.595399999999999636e+03
5.352500000000000000e+03 5.352500000000000000e+03
4.607300000000000182e+03 4.607300000000000182e+03
4.572800000000000182e+03 4.572800000000000182e+03
3.430000000000000000e+03 3.430000000000000000e+03
4.244000000000000000e+03 4.244000000000000000e+03
4.274100000000000364e+03 4.274100000000000364e+03
5.129100000000000364e+03 5.129100000000000364e+03
5.449399999999999636e+03 5.449399999999999636e+03
4.788100000000000364e+03 4.788100000000000364e+03
5.437100000000000364e+03 5.437100000000000364e+03
3.823000000000000000e+03 3.823000000000000000e+03
4.208300000000000182e+03 4.208300000000000182e+03
3.630800000000000182e+03 3.630800000000000182e+03
4.118000000000000000e+03 4.118000000000000000e+03
3.333400000000000091e+03 3.333400000000000091e+03
4.408600000000000364e+03 4.408600000000000364e+03
4.876000000000000000e+03 4.876000000000000000e+03
3.488300000000000182e+03 3.488300000000000182e+03
4.997199999999999818e+03 4.997199999999999818e+03
5.822899999999999636e+03 5.822899999999999636e+03
5.652100000000000364e+03 5.652100000000000364e+03
3.554400000000000091e+03 3.554400000000000091e+03
1.229179999999999927e+04 1.229179999999999927e+04
3.850500000000000000e+03 3.850500000000000000e+03
4.988100000000000364e+03 4.988100000000000364e+03
3.658000000000000000e+03 3.658000000000000000e+03
3.395300000000000182e+03 3.395300000000000182e+03
3.295599999999999909e+03 3.295599999999999909e+03
3.413000000000000000e+03 3.413000000000000000e+03
3.452400000000000091e+03 3.452400000000000091e+03
3.597500000000000000e+03 3.597500000000000000e+03
3.246400000000000091e+03 3.246400000000000091e+03
4.825600000000000364e+03 4.825600000000000364e+03
3.329000000000000000e+03 3.329000000000000000e+03
5.146800000000000182e+03 5.146800000000000182e+03
5.054899999999999636e+03 5.054899999999999636e+03
3.432300000000000182e+03 3.432300000000000182e+03
5.597800000000000182e+03 5.597800000000000182e+03
